,attributeID,cluster,tier2
1190,1190,21,cut and voided silk velvet
1191,1191,34,cut blown glass
1192,1192,34,cut glass
1193,1193,14,cut paper
1194,1194,27,cut paper against a lithographic background
1195,1195,14,cut paper pasted on etched frames
1196,1196,14,cut paper silhouette
1197,1197,27,cut-out gold foil application
1199,1199,16,cyanotype
1200,1200,1,daguerreotype
1201,1201,27,daguerreotype with applied color
1202,1202,24,dark blue
1203,1203,24,dark blue printed ware
1204,1204,12,dark brown ink
1205,1205,24,dark brown patina
1206,1206,24,dark green
1207,1207,19,deal
1208,1208,23,delftware (tin-glazed earthenware)
1209,1209,5,derbyshire spar
1210,1210,32,diamond
1211,1211,32,diamond point
1212,1212,32,diamond thumbprint
1213,1213,32,diamonds
1214,1214,32,diamonds
1215,1215,27,die cut card stock
1216,1216,27,die cut chromolithographed scraps
1217,1217,27,die-cut scrap
1218,1218,27,die-cut scraps
1219,1219,31,diorite
1220,1220,16,diptych of polychrome woodblock prints
1221,1221,10,distemper on cloth
1222,1222,33,distemper on wood
1224,1224,0,donkey skin
1225,1225,27,drawn on fine-grained transfer paper
1226,1226,27,drawn on thin
1227,1227,27,drawn on white transfer paper with a grained-stone texture
1229,1229,1,drypoint
1230,1230,1,drypoint and roulette
1231,1231,14,drypoint on laid paper
1232,1232,15,dyed
1233,1233,36,early imari type
1234,1234,39,earthenware
1235,1235,36,earthenware with flint enamel glaze
1236,1236,30,earthenware with green glaze
1237,1237,30,earthenware with green lead glaze
1238,1238,30,earthenware with painted decoration
1239,1239,30,earthenware with pigment
1240,1240,30,earthenware with slip decoration
1241,1241,39,earthenware
1242,1242,39,earthenware
1243,1243,39,earthenware
1244,1244,39,earthenware
1245,1245,39,earthenware
1246,1246,39,earthenware
1247,1247,39,earthenware
1248,1248,39,earthenware
1249,1249,39,earthenware
1250,1250,39,earthenware
1251,1251,39,earthenware
1252,1252,20,ebonized walnut
1253,1253,33,ebonized wood
1254,1254,2,ebony
1255,1255,26,egyptian alabaster
1256,1256,24,egyptian blue
1257,1257,35,eiraku type
1258,1258,38,electroformed copper
1259,1259,27,electrotype proof of a wood engraving
1260,1260,5,electrum
1261,1261,28,embossed
1262,1262,21,embroidered
1263,1263,21,embroidered in silk
1264,1264,21,embroidered net
1265,1265,21,embroidered silk on linen
1266,1266,21,embroidered with silk
1267,1267,21,embroidery
1268,1268,8,emerald
1269,1269,8,emeralds
1270,1270,36,enamel
1271,1271,38,enamel on brass
1272,1272,38,enamel on copper
1273,1273,36,enamel
1274,1274,36,enameled
1275,1275,28,enameled and gilt
1276,1276,38,enameled copper
1277,1277,34,enameled glass
1278,1278,32,enameled gold
1279,1279,36,enamelled
1280,1280,28,engraved
1281,1281,34,engraved glass
1282,1282,27,engraved motto on white card stock
1283,1283,1,engraving
1284,1284,1,engraving and blackwork
1285,1285,1,engraving and drypoint
1286,1286,1,engraving and etching
1287,1287,27,engraving and hand coloring (watercolor)
1288,1288,1,engraving on chine collé
1289,1289,14,engraving on paper
1290,1290,1,engraving with etching
1291,1291,19,engraving. third state
1292,1292,1,engraving
1293,1293,1,engraving
1294,1294,1,engraving
1295,1295,1,engraving
1296,1296,1,engraving
1297,1297,1,engraving
1298,1298,1,engraving
1299,1299,1,engravings
1301,1301,1,etching
1302,1302,1,etching and aquatint
1303,1303,1,etching and aquatint in green
1304,1304,16,etching and aquatint printed in color
1305,1305,1,etching and burin
1306,1306,1,etching and burnished aquatint
1307,1307,1,etching and drawing
1308,1308,1,etching and drypoint
1309,1309,14,etching and drypoint on china paper
1310,1310,14,etching and drypoint on laid paper
1311,1311,1,etching and engraving
1312,1312,27,etching and engraving. second state
1313,1313,27,etching and hand coloring (watercolor)
1314,1314,1,etching and mezzotint
1315,1315,1,etching and stipple
1316,1316,1,etching and stipple engraving
1317,1317,1,etching on chine collé
1318,1318,14,etching on laid paper
1319,1319,14,etching on wove paper
1320,1320,38,etching on zinc
1321,1321,1,etching with aquatint
1322,1322,1,etching with drypoint
1323,1323,1,etching with drypoint and roulette
1324,1324,1,etching with engraving
1325,1325,27,etching with hand coloring
1326,1326,1,etching with some engraving
1327,1327,1,etching with stipple
1328,1328,1,etching with watercolor
1329,1329,1,etching à la poupée
1330,1330,1,etching
1331,1331,1,etching
1332,1332,1,etching
1333,1333,1,etching
1334,1334,1,etching
1335,1335,1,etchings
1336,1336,21,fabric
1337,1337,39,faience
1338,1338,30,faience (tin-glazed earthenware)
1339,1339,36,faience decorated in colored enamels
1340,1340,18,fan mounted as an album leaf
1341,1341,34,favrile glass
1342,1342,15,feather
1343,1343,15,feathers
1344,1344,4,feathers on cotton
1345,1345,25,fiber
1346,1346,28,filigree
1347,1347,19,first state
1348,1348,19,first state of two
1349,1349,0,fish skin
1350,1350,23,flawed carnelian (quartz)
1351,1351,23,flawed neutral chalcedony (quartz)
1352,1352,3,flax
1353,1353,31,flint
1354,1354,21,floral design
1355,1355,27,folded foot
1356,1356,13,folding fan
1357,1357,18,folding fan mounted as an album leaf
1358,1358,4,foundation: cotton
1359,1359,25,foundation: cotton warp and weft
1360,1360,12,framing line in pen and brown ink
1361,1361,12,framing lines in pen and black ink
1362,1362,12,framing lines in pen and brown ink
1363,1363,34,free-blown aquamarine glass
1364,1364,34,free-blown glass
1365,1365,27,free-blown glass with applied decoration
1366,1366,34,free-blown green glass
1367,1367,34,free-blown lead glass
1368,1368,37,free-blown molded green glass
1369,1369,27,free-blown non-lead glass
1370,1370,34,free-blown silvered glass
1371,1371,26,fresco
1372,1372,27,frieze 1 of 8 plates
1375,1375,25,fur
1376,1376,31,gabbro
1377,1377,8,garnet
1378,1378,8,garnet cabochon
1379,1379,34,garnet or glass paste cabochon
1380,1380,8,garnets
1381,1381,15,garnets with patterned foil backings
1382,1382,3,gaudy dutch
1383,1383,32,gelatin silver print
1384,1384,27,gelatin silver print from glass negative
1385,1385,8,gem
1386,1386,8,gem stones
1387,1387,8,gemstones
1388,1388,7,gesso
1389,1389,28,gilded
1390,1390,38,gilded alloy
1391,1391,28,gilded and painted
1392,1392,28,gilded and painted walnut
1393,1393,28,gilded brass
1394,1394,28,gilded bronze
1395,1395,28,gilded copper
1396,1396,28,gilded fruitwood
1397,1397,28,gilded gesso
1398,1398,28,gilded gesso on pine
1399,1399,28,gilded gesso on walnut
1400,1400,20,gilded oak
1401,1401,20,gilded pine
1402,1402,28,gilded silver
1403,1403,33,gilded wood
1404,1404,28,gilding
1405,1405,28,gilt
1406,1406,28,gilt brass
1407,1407,28,gilt bronze
1408,1408,28,gilt copper
1409,1409,28,gilt gesso
1410,1410,28,gilt gesso on pine
1411,1411,28,gilt glass
1412,1412,28,gilt lining
1413,1413,28,gilt metal
1414,1414,28,gilt silver
1415,1415,28,gilt wefts
1416,1416,28,gilt-bronze
1417,1417,28,gilt-bronze mounts
1418,1418,28,gilt
1419,1419,34,glass
1420,1420,23,glass (clear)
1421,1421,23,glass (green)
1422,1422,34,glass and lacquer
1423,1423,34,glass beads
1424,1424,34,glass cabochon
1425,1425,34,glass in wooden frame
1426,1426,34,glass lining
1427,1427,34,glass paste
1428,1428,34,glass paste cabochons
1429,1429,34,glass with engraved decoration
1430,1430,34,glass-vitrail
1431,1431,34,glass
1432,1432,34,glass
1433,1433,34,glass
1434,1434,34,glass
1435,1435,34,glass
1436,1436,34,glass
1437,1437,34,glass
1438,1438,39,glassy faience
1439,1439,30,glaze
1440,1440,36,glazed
1441,1441,23,glazed (faience)
1442,1442,36,glazed ceramic
1443,1443,36,glazed earthenware
1444,1444,36,glazed pottery
1445,1445,36,glazed steatite
1446,1446,36,glazed stoneware
1447,1447,36,glazed terracotta
1448,1448,7,glazes
1449,1449,32,gold
1450,1450,23,gold (cast alloy)
1451,1451,23,gold (cast)
1452,1452,23,gold (hammered)
1453,1453,32,gold alloy
1454,1454,32,gold and coloured hiramakie
1455,1455,32,gold and coloured togidashi
1456,1456,32,gold and enamel
1457,1457,32,gold and garnet
1458,1458,32,gold and silver foil
1459,1459,32,gold and silver hiramakie
1460,1460,32,gold and silver maki-e on black lacquer
1461,1461,32,gold and silver togidashi
1462,1462,32,gold foil
1463,1463,28,gold gilt
1464,1464,32,gold ground
1465,1465,32,gold hiramakie
1466,1466,32,gold lacquer
1467,1467,32,gold leaf
1468,1468,32,gold lithography
1469,1469,38,gold on copper alloy
1470,1470,14,gold on paper
1471,1471,14,gold on parchment
1472,1472,32,gold on silk
1473,1473,14,gold paint on wove paper
1474,1474,32,gold pigment
1475,1475,32,gold plate
1476,1476,32,gold sheet
1477,1477,13,gold thread
1478,1478,32,gold wire with filigree
1479,1479,32,gold with red stone
1480,1480,16,gouache
1481,1481,16,gouache and watercolor
1482,1482,14,gouache on off-white wove paper
1483,1483,14,gouache on wove paper
1484,1484,3,gourd
1485,1485,26,granite
1486,1486,31,granodiorite
1487,1487,29,granulation
1488,1488,22,graphite
1489,1489,22,graphite and gouache
1490,1490,12,graphite and ink
1491,1491,11,graphite and wash
1492,1492,22,graphite and watercolor
1493,1493,14,graphite and watercolor on laid paper
1494,1494,14,graphite and watercolor on paper
1495,1495,14,graphite and watercolor on tracing paper
1496,1496,14,graphite and watercolor on wove paper
1497,1497,14,graphite on buff paper
1498,1498,14,graphite on gray-green wove paper
1499,1499,14,graphite on green-tinted paper
1500,1500,14,graphite on laid paper
1501,1501,14,graphite on light green wove paper
1502,1502,14,graphite on light tan wove paper
1503,1503,22,graphite on newsprint
1504,1504,2,graphite on off-white bristol board
1505,1505,14,graphite on off-white laid paper
1506,1506,14,graphite on off-white wove paper
1507,1507,14,graphite on paper
1508,1508,14,graphite on tracing paper
1509,1509,14,graphite on wove paper
1510,1510,14,graphite on wove paper with gilt edges
1511,1511,22,graphite with touches of white gouache
1512,1512,3,grass
1513,1513,24,gray
1514,1514,12,gray ink
1515,1515,11,gray ink and gray wash
1516,1516,31,gray schist
1517,1517,24,gray stone
1518,1518,11,gray wash
1519,1519,14,gray wash on paper
1520,1520,24,green
1521,1521,24,green black
1522,1522,34,green cased over colorless lead glass
1523,1523,36,green faience
1524,1524,24,green feldspar
1525,1525,34,green glass
1526,1526,24,green glaze
1527,1527,30,green glazed
1528,1528,30,green glazed steatite
1529,1529,24,green jasper
1530,1530,24,green patina
1531,1531,31,green schist
1532,1532,24,green with red and yellow slips
1533,1533,24,green
1534,1534,24,green
1535,1535,31,greenstone
1536,1536,11,grey wash
1537,1537,31,greywacke
1538,1538,6,gros point lace
1539,1539,31,guangdong province
1540,1540,3,gum arabic
1541,1541,12,gum arabic and metallic ink
1542,1542,0,gut
1543,1543,0,gut strings
1544,1544,26,gypsum
1545,1545,26,gypsum alabaster
1546,1546,0,hair
1547,1547,32,hammered gold
1548,1548,2,hand colored
1549,1549,16,hand colored lithograph
1550,1550,2,hand colored lithograph with gum arabic
1551,1551,27,hand-colored
1552,1552,27,hand-colored engraving
1553,1553,27,hand-colored etching
1554,1554,1,hand-colored etching and aquatint
1555,1555,27,hand-colored etching and engraving
1556,1556,27,hand-colored etching and stipple
1557,1557,27,hand-colored lithograph
1558,1558,27,hand-coloring
1559,1559,39,handscroll
1560,1560,39,handscroll
1561,1561,39,handscroll
1562,1562,13,hanging scroll
1563,1563,13,hanging scroll
1564,1564,30,hard-paste biscuit porcelain
1565,1565,30,hard-paste porcelain
1566,1566,23,hard-paste porcelain (jingdezhen ware)
1567,1567,30,hard-paste porcelain painted with colored enamels over transparent glaze
1568,1568,27,heavy card-stock
1569,1569,27,heavy die-cut card stock
1570,1570,2,heightened with white
1571,1571,23,heightened with white (partly oxidized)
1572,1572,2,heightened with white chalk
1573,1573,2,heightened with white gouache
1574,1574,2,heightened with white on blue paper
1575,1575,2,heightened with white over black chalk
1576,1576,8,heliotrope
1577,1577,8,hematite
1578,1578,4,hemp
1579,1579,20,hickory
1580,1580,0,hide
1581,1581,2,highlighted with white
1582,1582,2,highlighted with white chalk
1583,1583,2,highlighted with white gouache
1584,1584,23,hiramaki-e
1585,1585,32,hiramakie design in gold and silver
1587,1587,38,hollow cast
1588,1588,14,hollow cut paper
1589,1589,12,hollow cut paper with pen and ink additions
1590,1590,3,holly
1591,1591,17,horn
1592,1592,23,horn (cow)
1593,1593,5,horsehair
1594,1594,19,human remains
1595,1595,16,illustrated book
1596,1596,16,illustrations: engraving
1597,1597,1,illustrations: etching
1598,1598,1,illustrations: etching and engraving
1599,1599,16,illustrations: lithography
1600,1600,33,illustrations: wood engraving
1601,1601,36,imari style
1602,1602,36,imari type
1603,1603,13,imbe style
1604,1604,19,impressed
1605,1605,12,in pen and brown ink
1606,1606,29,incised
1607,1607,29,incised lines
1608,1608,4,indigo-dyed cotton
1609,1609,31,indurated limestone
1610,1610,12,ink
1611,1611,12,ink and color on palm leaf
1612,1612,12,ink and color on paper
1613,1613,12,ink and color on silk
1614,1614,14,ink and gold on paper
1615,1615,14,ink and gold on parchment
1616,1616,12,ink and graphite
1617,1617,11,ink and gray wash
1618,1618,14,ink and opaque watercolor on paper
1619,1619,12,ink and wash
1620,1620,12,ink and wash and graphite
1621,1621,12,ink and watercolor
1622,1622,12,ink and watercolor and wash
1623,1623,14,ink and watercolor on paper
1624,1624,12,ink and watercolor over graphite
1625,1625,14,ink on paper
1626,1626,12,ink on papyrus
1627,1627,14,ink on parchment
1628,1628,14,ink on tracing paper
1629,1629,28,inlaid
1630,1630,2,inlaid with black compound
1631,1631,28,inlaid with ivory
1632,1632,35,inlaid with ivory or bone
1633,1633,33,inlaid with paint
1634,1634,28,inlaid with plain and carved ivory
1635,1635,32,inlaid with silver
1636,1636,23,inlaid with silver and brass (bidri ware)
1637,1637,35,inscribed bone
1638,1638,1,intaglio
1639,1639,38,iron
1640,1640,38,iron alloy
1641,1641,38,iron core
1642,1642,38,iron mounts
1643,1643,38,iron pin
1644,1644,38,iron pins
1645,1645,32,iron red and gold
1646,1646,17,island
1647,1647,23,issue 1 (bartsch)
1648,1648,17,ivory
1649,1649,38,ivory  with metal mounts
1650,1650,23,ivory (elephant)
1651,1651,23,ivory (hippopotamus)
1652,1652,23,ivory (walrus)
1653,1653,14,ivory and paper
1654,1654,17,ivory inlay
1655,1655,35,ivory or bone
1656,1656,38,ivory with metal mounts
1657,1657,17,ivory
1658,1658,8,jade
1659,1659,23,jade (jadeite)
1660,1660,23,jade (nephrite)
1661,1661,32,jade (nephrite) with gold and stone inlays
1662,1662,8,jadeite
1663,1663,8,jasper
1665,1665,12,jet
1666,1666,32,jewels
1668,1668,35,kakiemon type
1669,1669,0,kid
1670,1670,9,kingwood
1673,1673,6,knitted lace
1674,1674,36,ko imari style
1675,1675,36,ko imari type
1676,1676,35,kurawanka type
1677,1677,35,kutani type
1678,1678,6,lace
1679,1679,7,lacquer
1680,1680,14,lacquer on paper
1681,1681,2,lacquer with black ground
1682,1682,9,lacquered
1683,1683,33,lacquered wood
1684,1684,33,lacquered wood with gold
1685,1685,32,lacquered wood with gold and silver hiramaki-e
1686,1686,34,lacy pressed blue glass
1687,1687,34,lacy pressed glass
1688,1688,34,lacy pressed green glass
1689,1689,34,lacy pressed opalescent glass
1690,1690,19,laid down
1691,1691,27,laid down on board
1692,1692,27,laid down on canvas
1693,1693,27,laid down on wood
1695,1695,8,lapis lazuli
1696,1696,8,lapis-lazuli
1698,1698,19,lead
1699,1699,36,lead glazed earthenware
1700,1700,22,lead graphite
1701,1701,30,lead-glazed earthenware
1702,1702,23,lead-glazed earthenware (creamware)
1703,1703,30,lead-glazed earthenware inlaid with slip
1704,1704,28,leaded bronze
1705,1705,34,leaded glass
1706,1706,34,leaded opalescent glass
1707,1707,22,leadpoint or graphite
1708,1708,13,leather
1709,1709,23,leather (cuir bouilli)
1710,1710,13,leather
1711,1711,16,letterpress
1712,1712,24,light brown
1713,1713,24,light greenish gray
1714,1714,24,light sage-green
1715,1715,31,limestone
1716,1716,12,limestone with ink inscription
1717,1717,22,limestone with traces of paint
1718,1718,31,limestone
1720,1720,27,limewood with paint and gilding
1721,1721,31,limonite
1722,1722,10,linen
1723,1723,10,linen and cotton
1724,1724,13,linen and metal thread
1725,1725,21,linen and silk
1726,1726,10,linen and silk on linen
